fname,verified_tags,toptag_eng_verified,4Q
Ys (FM) - 10 - Temple del Sol.mid,"peaceful, depressed, touching, dreamy, calm",dreamy,Q4
Ys (FM) - 11 - Tower of the Shadow of Death.mid,"tense, fluttered, rhythmic",tense,Q2
Ys (FM) - 12 - Devil_s Wind.mid,"tense, creepy, grand",tense,Q2
Ys (FM) - 13 - The Last Moment of the Dark.mid,"tense, creepy, serious, grand",tense,Q2
Ys (FM) - 14 - Final Battle.mid,"cheerful, tense, speedy, rhythmic",tense,Q2
Ys (FM) - 15 - Rest In Peace.mid,"peaceful, depressed, dreamy, cold, calm",dreamy,Q4
Ys (FM) - 16 - The Morning Grow.mid,"cheerful, tense, serious, grand, fluttered",cheerful,Q1
Ys (FM) - 17 - See You Again.mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
Ys (FM) - 18 - Treasure Box.mid,dreamy,dreamy,Q4
Ys (FM) - 19 - Game Over.mid,"touching, dreamy, calm",touching,Q4
Ys (FM) - 20 - Theme of Adol.mid,"cheerful, tense, speedy, fluttered, rhythmic",tense,Q2
Zaxxon 3-D (FM) - 01 - Title Screen.mid,"tense, serious, speedy, fluttered",tense,Q2
Zaxxon 3-D (FM) - 02 - Outer Space.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
Zaxxon 3-D (FM) - 03 - Enemy_s Base.mid,"tense, speedy, grand, rhythmic, bizarre, cold",tense,Q2
Zaxxon 3-D (FM) - 04 - Boss.mid,"tense, serious, rhythmic",tense,Q2
Zaxxon 3-D (FM) - 05 - Final Boss.mid,"tense, serious, speedy, bizarre",bizarre,Q3
Zaxxon 3-D (FM) - 06 - Mission Complete.mid,"cheerful, grand, fluttered",cheerful,Q1
Zaxxon 3-D (FM) - 07 - Game Over.mid,serious,serious,Q3
Zillion II (FM) - 01 - Title Screen.mid,"tense, bizarre, cold",bizarre,Q3
Zillion II (FM) - 02 - Pure Stone.mid,"cheerful, serious, fluttered, rhythmic",cheerful,Q1
Zillion II (FM) - 03 - Inside Base.mid,"cheerful, tense, serious, fluttered",cheerful,Q1
Zillion II (FM) - 04 - Boss.mid,"cheerful, tense, rhythmic",cheerful,Q1
Zillion II (FM) - 05 - Push!.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Sky_Adventure_(Alpha-68K)_16 Game Over.mid,"touching, cute, grand",touching,Q4
Sky_Adventure_(Alpha-68K)_06 Boss.mid,"tense, creepy, serious, speedy",tense,Q2
"Pro_Yakyuu_Family_Stadium_Pennant_Race_(MSX2,_MSX-Music)_01 Title Screen.mid","cheerful, comic, dreamy, grand",cheerful,Q1
"F1_Douchuuki_(MSX2,_OPLL)_01 Title Screen.mid","tense, serious, grand, fluttered",tense,Q2
